x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Gluteos,Vitiligo,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Hombros,Vitiligo,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Manos - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Manos,Vitiligo,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Piernas,Vitiligo,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pies - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Pies,Vitiligo,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Rostro,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Cuello,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Ariolas,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Axilas,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Pecho,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Abdomen,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Brazos,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Espalda,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Gluteos,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Hombros,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Manos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Manos,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Piernas,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pies - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Pies,Psoriasis,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Rostro,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Cuello,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Ariolas,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Axilas,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Pecho,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Abdomen,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Brazos,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Espalda,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Gluteos,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Hombros,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Manos - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Manos,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Piernas,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pies - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Pies,Psoriasis,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Rostro,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Cuello,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Ariolas,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Axilas,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Pecho,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Abdomen,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Brazos,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Espalda,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Gluteos,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Hombros,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
